Date,Adj_Close,Ticker,Market
2015-02-24,175.88754272460938,SPY,US
2015-02-25,175.73814392089844,SPY,US
2015-02-26,175.530517578125,SPY,US
2015-02-27,174.9326171875,SPY,US
2015-03-02,176.03704833984375,SPY,US
2015-03-03,175.3146209716797,SPY,US
2015-03-04,174.57553100585938,SPY,US
2015-03-05,174.76654052734375,SPY,US
2015-03-06,172.30856323242188,SPY,US
2015-03-09,173.02273559570312,SPY,US
2015-03-10,170.2159423828125,SPY,US
2015-03-11,169.8173828125,SPY,US
2015-03-12,171.97640991210938,SPY,US
2015-03-13,170.92181396484375,SPY,US
2015-03-16,173.2053985595703,SPY,US
2015-03-17,172.69056701660156,SPY,US
2015-03-18,174.76654052734375,SPY,US
2015-03-19,173.96934509277344,SPY,US
2015-03-20,175.50497436523438,SPY,US
2015-03-23,175.16297912597656,SPY,US
2015-03-24,174.1787109375,SPY,US
2015-03-25,171.6262969970703,SPY,US
2015-03-26,171.21766662597656,SPY,US
2015-03-27,171.6096954345703,SPY,US
2015-03-30,173.70330810546875,SPY,US
2015-03-31,172.18516540527344,SPY,US
2015-04-01,171.5762939453125,SPY,US
2015-04-02,172.19357299804688,SPY,US
2015-04-06,173.3529815673828,SPY,US
2015-04-07,172.89413452148438,SPY,US
2015-04-08,173.47801208496094,SPY,US
2015-04-09,174.2454376220703,SPY,US
2015-04-10,175.19630432128906,SPY,US
2015-04-13,174.4039306640625,SPY,US
2015-04-14,174.73760986328125,SPY,US
2015-04-15,175.52162170410156,SPY,US
2015-04-16,175.4716033935547,SPY,US
2015-04-17,173.4530487060547,SPY,US
2015-04-20,175.03787231445312,SPY,US
2015-04-21,174.82933044433594,SPY,US
2015-04-22,175.68850708007812,SPY,US
2015-04-23,176.1305694580078,SPY,US
2015-04-24,176.53924560546875,SPY,US
2015-04-27,175.8052520751953,SPY,US
2015-04-28,176.36407470703125,SPY,US
2015-04-29,175.6383819580078,SPY,US
2015-04-30,173.8784637451172,SPY,US
2015-05-01,175.7635498046875,SPY,US
2015-05-04,176.26400756835938,SPY,US
2015-05-05,174.2454376220703,SPY,US
2015-05-06,173.5281219482422,SPY,US
2015-05-07,174.22047424316406,SPY,US
2015-05-08,176.5142364501953,SPY,US
2015-05-11,175.67176818847656,SPY,US
2015-05-12,175.14625549316406,SPY,US
2015-05-13,175.17962646484375,SPY,US
2015-05-14,177.00636291503906,SPY,US
2015-05-15,177.1982421875,SPY,US
2015-05-18,177.7487335205078,SPY,US
2015-05-19,177.69032287597656,SPY,US
2015-05-20,177.5652313232422,SPY,US
2015-05-21,178.0823516845703,SPY,US
2015-05-22,177.65695190429688,SPY,US
2015-05-26,175.746826171875,SPY,US
2015-05-27,177.4150390625,SPY,US
2015-05-28,177.21487426757812,SPY,US
2015-05-29,176.11387634277344,SPY,US
2015-06-01,176.47250366210938,SPY,US
2015-06-02,176.29736328125,SPY,US
2015-06-03,176.76446533203125,SPY,US
2015-06-04,175.27139282226562,SPY,US
2015-06-05,174.9711151123047,SPY,US
2015-06-08,173.8951416015625,SPY,US
2015-06-09,173.8701171875,SPY,US
2015-06-10,175.95535278320312,SPY,US
2015-06-11,176.52256774902344,SPY,US
2015-06-12,175.17132568359375,SPY,US
2015-06-15,174.4206085205078,SPY,US
2015-06-16,175.3715057373047,SPY,US
2015-06-17,175.65512084960938,SPY,US
2015-06-18,177.4817657470703,SPY,US
2015-06-19,176.6939239501953,SPY,US
2015-06-22,177.59913635253906,SPY,US
2015-06-23,177.72483825683594,SPY,US
2015-06-24,176.43408203125,SPY,US
2015-06-25,175.897705078125,SPY,US
2015-06-26,175.86415100097656,SPY,US
2015-06-29,172.17623901367188,SPY,US
2015-06-30,172.53665161132812,SPY,US
2015-07-01,173.9196014404297,SPY,US
2015-07-02,173.7602996826172,SPY,US
2015-07-06,173.2657928466797,SPY,US
2015-07-07,174.3554229736328,SPY,US
2015-07-08,171.4302520751953,SPY,US
2015-07-09,171.74038696289062,SPY,US
2015-07-10,173.90284729003906,SPY,US
2015-07-13,175.8222198486328,SPY,US
2015-07-14,176.58494567871094,SPY,US
2015-07-15,176.52627563476562,SPY,US
2015-07-16,177.94277954101562,SPY,US
2015-07-17,178.09368896484375,SPY,US
2015-07-20,178.1858673095703,SPY,US
2015-07-21,177.4817657470703,SPY,US
2015-07-22,177.16329956054688,SPY,US
2015-07-23,176.16586303710938,SPY,US
2015-07-24,174.3386993408203,SPY,US
2015-07-27,173.324462890625,SPY,US
2015-07-28,175.45343017578125,SPY,US
2015-07-29,176.66038513183594,SPY,US
2015-07-30,176.70230102539062,SPY,US
2015-07-31,176.43408203125,SPY,US
2015-08-03,175.83900451660156,SPY,US
2015-08-04,175.49533081054688,SPY,US
2015-08-05,176.07366943359375,SPY,US
2015-08-06,174.6320037841797,SPY,US
2015-08-07,174.29673767089844,SPY,US
2015-08-10,176.49276733398438,SPY,US
2015-08-11,174.9002227783203,SPY,US
2015-08-12,175.1098175048828,SPY,US
2015-08-13,174.89183044433594,SPY,US
2015-08-14,175.52886962890625,SPY,US
2015-08-17,176.5095672607422,SPY,US
2015-08-18,175.99819946289062,SPY,US
2015-08-19,174.60690307617188,SPY,US
2015-08-20,170.96087646484375,SPY,US
2015-08-21,165.81448364257812,SPY,US
2015-08-24,158.8325958251953,SPY,US
2015-08-25,156.96343994140625,SPY,US
2015-08-26,162.9899444580078,SPY,US
2015-08-27,167.02142333984375,SPY,US
2015-08-28,167.0298614501953,SPY,US
2015-08-31,165.68038940429688,SPY,US
2015-09-01,160.73524475097656,SPY,US
2015-09-02,163.78616333007812,SPY,US
2015-09-03,163.9034423828125,SPY,US
2015-09-04,161.4225311279297,SPY,US
2015-09-08,165.47923278808594,SPY,US
